"id","has_exterior","name"
34812,true,G3SG1 | Chronos (Factory New)
34817,true,G3SG1 | Contractor (Factory New)
34822,true,G3SG1 | Demeter (Factory New)
34827,true,G3SG1 | Desert Storm (Factory New)
34836,true,G3SG1 | Green Apple (Factory New)
34840,true,G3SG1 | Hunter (Factory New)
34845,true,G3SG1 | Jungle Dashed (Factory New)
34849,true,G3SG1 | Murky (Factory New)
34853,true,G3SG1 | Orange Crash (Factory New)
34858,true,G3SG1 | Orange Kimono (Factory New)
34863,true,G3SG1 | Polar Camo (Factory New)
34868,true,G3SG1 | Safari Mesh (Factory New)
34873,true,G3SG1 | Stinger (Factory New)
34882,true,G3SG1 | VariCamo (Factory New)
34886,true,G3SG1 | Ventilator (Factory New)
34891,true,Galil AR | Aqua Terrace (Factory New)
34896,true,Galil AR | Black Sand (Factory New)
34900,true,Galil AR | Blue Titanium (Factory New)
34902,true,Galil AR | Cerberus (Factory New)
34910,true,Galil AR | Crimson Tsunami (Factory New)
34919,true,Galil AR | Firefight (Factory New)
34924,true,Galil AR | Hunting Blind (Factory New)
34929,true,Galil AR | Kami (Factory New)
34934,true,Galil AR | Orange DDPAT (Factory New)
34939,true,Galil AR | Rocket Pop (Factory New)
34944,true,Galil AR | Sage Spray (Factory New)
34953,true,Galil AR | Shattered (Factory New)
34958,true,Galil AR | Stone Cold (Factory New)
34963,true,Galil AR | Sugar Rush (Factory New)
34968,true,Galil AR | Tuxedo (Factory New)
34973,true,Galil AR | Urban Rubble (Factory New)
34978,true,Galil AR | VariCamo (Factory New)
34983,true,Galil AR | Winter Forest (Factory New)
34993,true,Glock-18 | Blue Fissure (Factory New)
34998,true,Glock-18 | Brass (Factory New)
35003,true,Glock-18 | Bunsen Burner (Factory New)
35006,true,Glock-18 | Candy Apple (Factory New)
35010,true,Glock-18 | Catacombs (Factory New)
35018,true,Glock-18 | Dragon Tattoo (Factory New)
35020,true,Glock-18 | Fade (Factory New)
35022,true,Glock-18 | Grinder (Factory New)
35026,true,Glock-18 | Groundwater (Factory New)
35031,true,Glock-18 | Ironwork (Factory New)
35036,true,Glock-18 | Night (Factory New)
35041,true,Glock-18 | Off World (Factory New)
35046,true,Glock-18 | Reactor (Factory New)
35051,true,Glock-18 | Royal Legion (Factory New)
35056,true,Glock-18 | Sand Dune (Factory New)
35060,true,Glock-18 | Steel Disruption (Factory New)
35063,true,Glock-18 | Twilight Galaxy (Factory New)
35067,true,Glock-18 | Wasteland Rebel (Factory New)
35072,true,Glock-18 | Water Elemental (Factory New)
35077,true,Glock-18 | Weasel (Factory New)
35082,true,Glock-18 | Wraiths (Factory New)
35107,true,M249 | Blizzard Marbleized (Factory New)
35112,true,M249 | Contrast Spray (Factory New)
35116,true,M249 | Emerald Poison Dart (Factory New)
35121,true,M249 | Gator Mesh (Factory New)
35126,true,M249 | Impact Drill (Factory New)
35131,true,M249 | Jungle DDPAT (Factory New)
35136,true,M249 | Magma (Factory New)
35141,true,M249 | Nebula Crusader (Factory New)
35146,true,M249 | Shipping Forecast (Factory New)
35151,true,M249 | Spectre (Factory New)
35156,true,M249 | System Lock (Factory New)
35160,true,M4A1-S | Atomic Alloy (Factory New)
35165,true,M4A1-S | Basilisk (Factory New)
35169,true,M4A1-S | Blood Tiger (Factory New)
35173,true,M4A1-S | Boreal Forest (Factory New)
35178,true,M4A1-S | Briefing (Factory New)
35185,true,M4A1-S | Chantico's Fire (Factory New)
35190,true,M4A1-S | Cyrex (Factory New)
35197,true,M4A1-S | Decimator (Factory New)
35202,true,M4A1-S | Flashback (Factory New)
35207,true,M4A1-S | Golden Coil (Factory New)
35212,true,M4A1-S | Guardian (Factory New)
35216,true,M4A1-S | Hot Rod (Factory New)
35219,true,M4A1-S | Hyper Beast (Factory New)
35223,true,M4A1-S | Icarus Fell (Factory New)
35225,true,M4A1-S | Knight (Factory New)
35228,true,M4A1-S | Leaded Glass (Factory New)
35233,true,M4A1-S | Master Piece (Factory New)
35238,true,M4A1-S | Mecha Industries (Factory New)
35243,true,M4A1-S | Nitro (Factory New)
35248,true,M4A1-S | VariCamo (Factory New)
35256,true,M4A4 | Bullet Rain (Factory New)
35261,true,M4A4 | Buzz Kill (Factory New)
35266,true,M4A4 | Daybreak (Factory New)
35271,true,M4A4 | Desert Storm (Factory New)
35276,true,M4A4 | Desert-Strike (Factory New)
35281,true,M4A4 | Desolate Space (Factory New)
35286,true,M4A4 | Evil Daimyo (Factory New)
35290,true,M4A4 | Faded Zebra (Factory New)
35295,true,M4A4 | Griffin (Factory New)
35300,true,M4A4 | Hellfire (Factory New)
35308,true,M4A4 | Jungle Tiger (Factory New)
35313,true,M4A4 | Modern Hunter (Factory New)
35317,true,M4A4 | Poseidon (Factory New)
35321,true,M4A4 | Radiation Hazard (Factory New)
35326,true,M4A4 | Royal Paladin (Factory New)
35331,true,M4A4 | The Battlestar (Factory New)
35336,true,M4A4 | Tornado (Factory New)
35341,true,M4A4 | Urban DDPAT (Factory New)
35345,true,M4A4 | X-Ray (Factory New)
35348,true,M4A4 | Zirka (Factory New)
35353,true,M4A4 | 龍王 (Dragon King) (Factory New)
35358,true,MAC-10 | Aloha (Factory New)
35362,true,MAC-10 | Amber Fade (Factory New)
35369,true,MAC-10 | Carnivore (Factory New)
35374,true,MAC-10 | Commuter (Factory New)
35379,true,MAC-10 | Curse (Factory New)
35383,true,MAC-10 | Fade (Factory New)
35386,true,MAC-10 | Graven (Factory New)
35391,true,MAC-10 | Heat (Factory New)
35396,true,MAC-10 | Indigo (Factory New)
35401,true,MAC-10 | Lapis Gator (Factory New)
35405,true,MAC-10 | Last Dive (Factory New)
35410,true,MAC-10 | Malachite (Factory New)
35414,true,MAC-10 | Neon Rider (Factory New)
35419,true,MAC-10 | Nuclear Garden (Factory New)
35424,true,MAC-10 | Oceanic (Factory New)
35429,true,MAC-10 | Palm (Factory New)
35434,true,MAC-10 | Rangeen (Factory New)
35440,true,MAC-10 | Tatter (Factory New)
35445,true,MAC-10 | Tornado (Factory New)
35450,true,MAC-10 | Ultraviolet (Factory New)
35455,true,MAC-10 | Urban DDPAT (Factory New)
35460,true,MAG-7 | Bulldozer (Factory New)
35465,true,MAG-7 | Cobalt Core (Factory New)
35470,true,MAG-7 | Counter Terrace (Factory New)
35475,true,MAG-7 | Firestarter (Factory New)
35479,true,MAG-7 | Hard Water (Factory New)
35484,true,MAG-7 | Hazard (Factory New)
35493,true,MAG-7 | Heaven Guard (Factory New)
35498,true,MAG-7 | Irradiated Alert (Factory New)
35502,true,MAG-7 | Memento (Factory New)
35505,true,MAG-7 | Metallic DDPAT (Factory New)
35507,true,MAG-7 | Petroglyph (Factory New)
35511,true,MAG-7 | Praetorian (Factory New)
35516,true,MAG-7 | Sand Dune (Factory New)
35521,true,MAG-7 | Seabird (Factory New)
35525,true,MAG-7 | Silver (Factory New)
35527,true,MAG-7 | Sonar (Factory New)
35532,true,MAG-7 | Storm (Factory New)
35547,true,MP7 | Akoben (Factory New)
35551,true,MP7 | Anodized Navy (Factory New)
35554,true,MP7 | Armor Core (Factory New)
35559,true,MP7 | Army Recon (Factory New)
35564,true,MP7 | Asterion (Factory New)
35567,true,MP7 | Cirrus (Factory New)
35572,true,MP7 | Forest DDPAT (Factory New)
35577,true,MP7 | Full Stop (Factory New)
35582,true,MP7 | Groundwater (Factory New)
35587,true,MP7 | Gunsmoke (Factory New)
35591,true,MP7 | Impire (Factory New)
35595,true,MP7 | Nemesis (Factory New)
35598,true,MP7 | Ocean Foam (Factory New)
35601,true,MP7 | Olive Plaid (Factory New)
35606,true,MP7 | Orange Peel (Factory New)
35613,true,MP7 | Special Delivery (Factory New)
35622,true,MP7 | Whiteout (Factory New)
35627,true,MP9 | Airlock (Factory New)
35639,true,MP9 | Dark Age (Factory New)
